n,rand_cut,rand_time,local_cut,local_time,opt_cut,opt_time,qaoa_gamma,qaoa_beta,qaoa_analytic_val,qaoa_opt_time,qaoa_sampled_expectation,qaoa_best_cut,qaoa_counts,qaoa_sim_time,qaoa_shots,repeat
6,6,0.08294844627380371,5,0.00010061264038085938,6.0,0.0015110969543457031,1.5707963267948966,0.39269908169872414,6.0,0.10618209838867188,3.025390625,6,"{'000100': 11, '110011': 15, '101101': 20, '110001': 18, '000110': 17, '101111': 18, '000011': 9, '101100': 8, '110100': 18, '111011': 14, '100101': 12, '001110': 19, '101110': 16, '110010': 13, '000101': 12, '111110': 15, '001011': 28, '100010': 16, '110111': 11, '000000': 12, '011011': 13, '001010': 13, '111111': 8, '100001': 16, '010011': 18, '001100': 17, '111101': 20, '100011': 21, '101010': 19, '110110': 20, '000001': 18, '111010': 17, '100110': 18, '001111': 17, '100000': 17, '011000': 23, '001000': 12, '101001': 13, '011100': 14, '010100': 17, '010000': 17, '010001': 23, '110000': 13, '000111': 18, '011101': 18, '111001': 14, '011001': 19, '101000': 19, '010101': 23, '000010': 11, '101011': 14, '110101': 19, '010111': 12, '011111': 15, '111100': 15, '100100': 14, '001101': 16, '111000': 13, '010010': 15, '010110': 23, '011110': 22, '001001': 9, '011010': 13, '100111': 16}",0.258953332901001,1024,0
6,6,0.09908270835876465,2,6.842613220214844e-05,6.0,0.0008959770202636719,1.5707963267948966,0.39269908169872414,6.0,0.08115792274475098,2.994140625,6,"{'000011': 13, '110100': 16, '101100': 27, '010010': 12, '100110': 21, '111010': 23, '001111': 19, '000110': 18, '110001': 19, '101111': 18, '011110': 19, '101001': 17, '011000': 11, '101000': 15, '101110': 16, '000101': 15, '110010': 15, '110110': 15, '000001': 11, '101010': 18, '111101': 20, '100011': 13, '001100': 18, '000000': 19, '110111': 18, '100010': 17, '001011': 15, '111110': 14, '101011': 15, '110101': 10, '000010': 15, '100101': 21, '001110': 17, '111011': 19, '100111': 18, '110000': 20, '000111': 21, '010101': 15, '010100': 22, '101101': 19, '000100': 12, '110011': 7, '111111': 12, '001010': 13, '100001': 21, '011111': 10, '100100': 13, '111100': 14, '001101': 18, '011100': 17, '100000': 23, '010001': 12, '001001': 13, '010110': 15, '111000': 11, '001000': 18, '011001': 19, '010011': 16, '010000': 10, '011011': 16, '011010': 18, '010111': 13, '011101': 9, '111001': 10}",0.2608509063720703,1024,1
6,9,0.10906648635864258,8,0.00011086463928222656,9.0,0.0016105175018310547,0.620501202283803,0.31821031139794553,7.345197773548017,0.13495302200317383,5.2705078125,9,"{'001110': 1, '111011': 33, '100101': 36, '001101': 15, '111100': 6, '100100': 36, '100000': 39, '011010': 34, '100010': 6, '001011': 8, '111110': 18, '010011': 50, '001010': 1, '111111': 31, '100001': 31, '011011': 45, '000100': 27, '110011': 28, '101101': 32, '011111': 45, '010001': 5, '001001': 16, '010010': 24, '011001': 6, '011110': 25, '110000': 3, '000111': 9, '000000': 24, '110111': 35, '101000': 38, '101110': 7, '000101': 12, '110010': 14, '101001': 20, '110110': 13, '101010': 3, '000001': 21, '010111': 33, '001111': 8, '100110': 6, '111010': 13, '000011': 4, '110100': 3, '101100': 44, '001000': 38, '110101': 1, '101011': 1, '000010': 2, '010101': 5, '010110': 25, '100011': 1, '111101': 2, '001100': 31, '101111': 2, '111000': 3, '111001': 2, '011100': 2, '011101': 1}",0.37883758544921875,1024,2
6,3,0.1115274429321289,3,7.367134094238281e-05,3.0,0.0009586811065673828,1.5707963267948966,0.39269908169872414,3.0,0.07714271545410156,1.587890625,3,"{'010100': 22, '011110': 16, '111100': 17, '100100': 16, '001101': 17, '101000': 11, '011001': 12, '001100': 28, '111101': 13, '100011': 19, '011111': 19, '001010': 20, '100001': 16, '111111': 14, '010101': 12, '101100': 11, '000011': 16, '110100': 18, '001111': 11, '111010': 16, '100110': 20, '011011': 19, '000100': 20, '101101': 17, '110011': 18, '011000': 18, '000010': 18, '110101': 17, '101011': 15, '111000': 8, '101010': 16, '110110': 28, '000001': 20, '101001': 16, '001011': 11, '100010': 18, '111110': 10, '011101': 18, '000111': 8, '110000': 12, '000110': 14, '101111': 9, '110001': 12, '000101': 21, '110010': 16, '101110': 18, '001001': 17, '010110': 18, '001110': 19, '111011': 24, '100101': 18, '100000': 17, '110111': 14, '000000': 16, '001000': 15, '010010': 12, '011010': 14, '011100': 18, '010001': 15, '111001': 12, '010011': 15, '010000': 11, '010111': 17, '100111': 11}",0.2452397346496582,1024,3
6,2,0.10792136192321777,0,9.5367431640625e-05,2.0,0.0014269351959228516,1.5707963267948966,0.39269908169872414,2.0,0.0989375114440918,1.0390625,2,"{'100101': 15, '001110': 18, '111011': 20, '010000': 22, '011000': 13, '111101': 15, '001100': 11, '100011': 10, '110100': 16, '000011': 13, '101100': 19, '011001': 20, '011010': 12, '011100': 18, '101011': 20, '000010': 12, '110101': 14, '010111': 18, '111010': 15, '001111': 20, '100110': 18, '100100': 18, '001101': 15, '111100': 23, '001001': 10, '100000': 11, '101001': 19, '000101': 19, '110010': 18, '101110': 14, '110111': 13, '000000': 20, '110001': 12, '101111': 24, '000110': 13, '111001': 16, '011110': 16, '101010': 16, '110110': 22, '000001': 12, '011111': 9, '111111': 24, '100001': 14, '001010': 15, '111110': 18, '100010': 15, '001011': 17, '010011': 19, '100111': 12, '010010': 12, '110000': 23, '000111': 17, '000100': 12, '110011': 20, '101101': 18, '101000': 19, '011101': 11, '011011': 17, '010001': 13, '001000': 13, '010101': 14, '010110': 16, '111000': 14, '010100': 12}",0.31503772735595703,1024,4
8,18,0.1325063705444336,8,0.00012826919555664062,18.0,0.004722118377685547,0.839315831588701,0.39269320189529194,13.782724542909678,0.20496773719787598,8.310546875,18,"{'01101000': 4, '10000110': 4, '00011000': 9, '10111001': 13, '10101000': 3, '00000001': 5, '00110110': 13, '11001111': 18, '00110111': 10, '11011111': 12, '01000110': 8, '10100001': 11, '00001000': 11, '00101111': 10, '00110001': 9, '01111110': 3, '01000000': 16, '10111110': 5, '01010000': 12, '11000110': 6, '10010000': 8, '00111111': 13, '00100001': 9, '00101000': 14, '00101110': 23, '10000000': 10, '11101111': 14, '01001110': 21, '01110000': 4, '10110000': 3, '01011110': 16, '00111001': 6, '10100111': 11, '00010111': 7, '10110001': 13, '11111000': 2, '10101111': 14, '10110111': 8, '11001110': 11, '11100111': 11, '01101110': 2, '00010000': 8, '11011110': 5, '10111111': 21, '10010110': 6, '00100111': 8, '11010001': 23, '11000000': 15, '00001110': 13, '10011110': 5, '10101110': 8, '10111000': 3, '11101001': 10, '01010110': 8, '11110111': 8, '01111000': 6, '01100001': 5, '11001001': 12, '11000001': 26, '00111010': 1, '00100110': 13, '11010000': 14, '00001111': 5, '10011000': 5, '11110001': 8, '10001001': 4, '00110000': 20, '11000111': 11, '11101110': 4, '00011001': 5, '01101111': 7, '11100001': 13, '11011001': 9, '11110101': 1, '01111101': 1, '01000001': 7, '10001110': 9, '10001000': 3, '10101001': 7, '00000000': 12, '01000111': 4, '01111011': 1, '11010110': 9, '01010111': 4, '00111110': 17, '01110111': 4, '11110000': 5, '11111001': 6, '00011110': 15, '01001000': 8, '00100000': 13, '10011111': 4, '01011111': 6, '10100110': 7, '00010110': 9, '11101000': 5, '01011000': 8, '00010001': 3, '01111001': 5, '01111111': 6, '00011111': 7, '10100000': 4, '00001001': 7, '11111110': 4, '00000110': 5, '11010111': 9, '01001111': 5, '01110011': 2, '10011001': 1, '01101001': 5, '00000111': 3, '01110001': 6, '11100000': 6, '00111000': 10, '11111111': 4, '01100000': 3, '11011000': 8, '00101001': 6, '01100101': 1, '11010101': 1, '01100110': 2, '11110110': 3, '11001000': 4, '11100110': 2, '01100111': 2, '11111011': 1, '10000001': 2, '11100101': 1, '01010001': 2, '10001111': 1, '11010010': 1, '10110110': 3, '10010111': 2, '01000010': 1, '01001100': 1, '10011010': 1, '00101011': 1, '11011101': 1, '11001010': 1, '01001001': 2, '01110101': 1, '00010010': 1, '01110010': 1}",0.24705219268798828,1024,0
8,16,0.12642383575439453,9,0.0001246929168701172,16.0,0.006423234939575195,1.5707963267948966,0.39269908169872414,13.0,0.13213515281677246,7.9765625,16,"{'00000000': 7, '10101001': 8, '11100101': 5, '10011010': 6, '10111000': 7, '11111101': 4, '10110110': 3, '01011100': 5, '01000111': 1, '01111011': 3, '00001010': 6, '11101101': 2, '11000110': 6, '10100101': 2, '11101001': 4, '10000001': 10, '01010110': 1, '10111100': 5, '11111001': 5, '00010100': 5, '10110010': 3, '00001000': 5, '10100001': 4, '10101110': 2, '00011111': 6, '11111100': 7, '11011011': 4, '11100001': 6, '11001100': 6, '10110100': 2, '01011010': 3, '00011000': 4, '10010010': 7, '00001100': 4, '11101111': 5, '11000100': 3, '01111111': 4, '01000011': 5, '11100000': 6, '11001011': 6, '00000101': 7, '10000111': 2, '01110011': 5, '01001111': 4, '11101110': 8, '11000111': 3, '11111010': 2, '01100001': 4, '00011101': 4, '10110001': 4, '01011101': 2, '00100010': 3, '00111110': 2, '10011001': 5, '00011011': 3, '01100111': 7, '00101100': 4, '00110100': 7, '11001101': 9, '11100110': 9, '00111001': 5, '01001000': 3, '10100100': 4, '10000010': 6, '10110000': 2, '01011110': 6, '01111110': 4, '01000000': 6, '00110000': 4, '01101100': 5, '11110011': 4, '11010011': 3, '00001101': 7, '00111000': 3, '10101111': 5, '11011001': 6, '10111001': 7, '11001110': 5, '11100111': 3, '01110001': 8, '01001101': 10, '00110110': 5, '00101010': 4, '11001001': 3, '11000001': 4, '11101100': 7, '10111101': 3, '01010001': 2, '11110001': 1, '01101000': 6, '10011101': 5, '10110011': 7, '01011111': 4, '10101100': 4, '00010010': 3, '10101011': 3, '01000010': 5, '01110101': 6, '00001001': 1, '10100000': 7, '00100110': 4, '00111010': 6, '01100011': 5, '11100100': 4, '11001111': 5, '10001001': 5, '10100111': 6, '10101010': 5, '10111110': 2, '01010000': 4, '10010001': 3, '01100100': 4, '10010101': 3, '11001000': 3, '01001100': 4, '01110110': 2, '11110111': 4, '10000011': 5, '11101000': 8, '00011110': 6, '10010100': 4, '01011011': 5, '10110111': 4, '11000101': 4, '00101101': 2, '00110011': 5, '01101110': 4, '01111010': 4, '01000100': 2, '00111111': 2, '00100001': 5, '11000000': 4, '11101011': 6, '00100111': 3, '11000010': 4, '01111000': 6, '00110111': 7, '01001110': 2, '01110000': 2, '01010011': 3, '10111111': 1, '10100110': 3, '01011001': 6, '11011111': 4, '11010101': 9, '00010110': 7, '00101111': 4, '00110001': 5, '01110100': 2, '01001010': 3, '00100011': 7, '00111101': 6, '00110010': 3, '00101110': 3, '11111000': 4, '00000001': 3, '10101000': 3, '01100101': 7, '10001000': 5, '00100000': 5, '00001011': 1, '01100010': 4, '01010010': 5, '11111111': 4, '00011001': 4, '10111011': 2, '01010111': 4, '01111101': 5, '01000001': 5, '11010111': 3, '10101101': 9, '11011010': 9, '00000110': 6, '10011011': 4, '10110101': 3, '11111110': 2, '01011000': 6, '10000101': 3, '01111001': 3, '10001011': 7, '10001100': 2, '01010100': 6, '10111010': 2, '10010011': 2, '10011111': 3, '11100010': 1, '00010101': 5, '11000011': 2, '11101010': 5, '01111100': 3, '00111011': 7, '00100101': 2, '00010111': 5, '01101011': 5, '11010110': 5, '01101001': 2, '10100011': 3, '01000101': 2, '01100000': 1, '11010001': 4, '01001001': 3, '11011101': 4, '10010000': 3, '10001101': 5, '11110100': 3, '11001010': 4, '11100011': 5, '11011100': 3, '10011110': 5, '00101000': 3, '11010000': 2, '10001010': 3, '00010000': 6, '00111100': 3, '00100100': 4, '11011000': 4, '01101010': 3, '11010100': 3, '00001110': 2, '00110101': 2, '00101011': 4, '11010010': 2, '11011110': 2, '00000011': 3, '11110000': 2, '10000110': 4, '11110110': 3, '00000100': 2, '01110111': 2, '00101001': 5, '10010111': 3, '10011100': 5, '00010001': 4, '01010101': 5, '01110010': 2, '00010011': 2, '11110010': 2, '10011000': 2, '00001111': 2, '01100110': 3, '10010110': 3, '00000010': 2, '00011010': 1, '10000000': 2, '01101111': 2, '00000111': 1, '10100010': 1, '10000100': 1, '10001111': 2, '01101101': 1}",0.29230356216430664,1024,1
8,12,0.11281991004943848,12,0.00017762184143066406,12.0,0.007002353668212891,1.0473522210170683,0.3927089736013215,9.897114220752393,0.3447721004486084,4.6669921875,12,"{'01001111': 7, '11101110': 6, '11000111': 13, '00100000': 16, '01101001': 5, '10000111': 7, '11100000': 5, '11000110': 10, '00111111': 10, '00100001': 15, '11010111': 8, '11010001': 4, '11101011': 1, '11000000': 7, '00100111': 14, '10011111': 17, '00000111': 16, '01111001': 7, '10111100': 2, '01010110': 3, '00000110': 11, '01111110': 3, '01000000': 8, '01110110': 6, '00100110': 17, '00001111': 10, '00110111': 5, '10101001': 7, '00000000': 12, '01000110': 21, '11011111': 10, '11111000': 6, '00010110': 7, '00111001': 13, '10111001': 12, '11111110': 11, '10001001': 5, '01100111': 22, '01001110': 4, '01110000': 6, '11000100': 1, '11101111': 4, '11111101': 2, '10111000': 5, '00011110': 7, '01100000': 18, '01010000': 3, '10111110': 8, '11111001': 18, '10110011': 1, '01011111': 7, '10101000': 3, '00000001': 18, '11011001': 11, '10110110': 5, '10110000': 2, '01011110': 9, '01011000': 7, '00001000': 2, '10100001': 11, '10000110': 11, '01101000': 4, '01100001': 19, '00011111': 9, '01110001': 3, '10000000': 7, '10100110': 3, '00111000': 7, '10011000': 15, '00011000': 6, '11001110': 3, '11100111': 9, '11100110': 3, '01011001': 5, '11100001': 7, '11011011': 1, '11010011': 1, '11000001': 7, '01100110': 19, '01111111': 4, '01000011': 3, '10111111': 15, '01001001': 6, '11011100': 3, '11111111': 12, '10011110': 14, '00010111': 7, '00000010': 1, '00101111': 6, '00110001': 2, '01001011': 1, '01110111': 3, '10100111': 8, '00010000': 4, '11011000': 11, '11101000': 3, '10111011': 1, '01010111': 9, '10000101': 1, '10101111': 4, '10011001': 15, '10001000': 9, '11110111': 4, '10010000': 5, '11011110': 20, '01111011': 1, '01000111': 10, '01111010': 2, '10100000': 3, '00001001': 6, '01001000': 7, '11010000': 7, '01101110': 3, '00010001': 3, '10010101': 5, '11100100': 1, '11001111': 4, '10111101': 1, '01010001': 5, '11110000': 1, '00110110': 5, '00101010': 1, '11100010': 2, '11001001': 4, '11010110': 4, '00110000': 5, '00101000': 4, '00000011': 1, '11110001': 3, '10101110': 5, '11001000': 6, '10110111': 5, '01011011': 1, '01000001': 10, '11011010': 1, '10000001': 4, '00101001': 7, '10001110': 5, '10010011': 1, '11101001': 6, '10011100': 1, '00101110': 3, '10001111': 4, '11111100': 1, '00100011': 1, '00011001': 2, '10110001': 1, '11110110': 2, '11000101': 1, '11101010': 1, '11000011': 2, '01100101': 1, '10010010': 1, '00000101': 1, '10100011': 1, '11100101': 1, '10010001': 2, '01101111': 4, '00011100': 2, '10011101': 2, '01101011': 1, '11111010': 1, '10010111': 2, '11000010': 2, '00111110': 6, '00100010': 2, '01111000': 8, '11010010': 1, '11001010': 1, '00001011': 1, '00011101': 1, '11111011': 1, '10010110': 1, '10000011': 1, '00101101': 1}",0.4480137825012207,1024,2
8,19,0.1307218074798584,10,0.00014829635620117188,19.0,0.008971691131591797,0.8372685163864323,0.39274656470894015,14.407029779391895,0.23030543327331543,8.93359375,19,"{'10110100': 3, '01000110': 16, '10101001': 11, '00000000': 5, '01110011': 5, '11000111': 6, '11101110': 2, '11010110': 20, '10111000': 3, '11110001': 7, '01001100': 4, '01110110': 8, '10010100': 15, '11000010': 6, '00111011': 19, '01100011': 10, '00001001': 9, '10101011': 13, '00110011': 3, '00101101': 6, '01000011': 1, '01111111': 3, '00000110': 16, '11100011': 6, '00010110': 14, '11001110': 3, '11100111': 1, '00110101': 1, '00101011': 14, '01111010': 4, '01000100': 16, '11010100': 24, '00111001': 13, '11001001': 5, '00011001': 5, '00010000': 6, '11010000': 7, '00100110': 4, '00111010': 5, '00111101': 3, '00100011': 5, '10010010': 3, '00001100': 3, '11101111': 2, '11000100': 16, '01011011': 7, '10000101': 5, '10001110': 9, '11000110': 10, '11101101': 3, '01010110': 14, '01000111': 3, '01111011': 15, '11100100': 4, '10101000': 5, '01101011': 13, '10101101': 2, '01000101': 5, '00110100': 3, '11110100': 3, '10100110': 5, '00101001': 10, '01100110': 4, '10101110': 1, '01101001': 16, '11000000': 4, '11101011': 17, '01100101': 1, '10111011': 20, '01010111': 2, '10100100': 3, '11111011': 16, '10110011': 2, '11110011': 7, '00010010': 4, '10100011': 4, '00011011': 4, '00000100': 13, '00101010': 4, '00110110': 8, '11011110': 3, '10111001': 16, '10101111': 8, '11101001': 13, '10111010': 3, '01010100': 18, '00111111': 6, '00100001': 3, '10000100': 19, '10010101': 4, '11110110': 7, '00010111': 3, '00010100': 12, '00010101': 6, '10010110': 18, '11011100': 5, '11111001': 12, '11011011': 3, '10001001': 6, '01110010': 3, '00001011': 5, '01111001': 12, '10011011': 5, '11111111': 4, '11100110': 4, '10000111': 4, '11010101': 5, '01111000': 4, '00000010': 3, '01010011': 2, '10111111': 4, '10001100': 11, '00011110': 3, '10000110': 14, '00000101': 5, '01000000': 4, '01111110': 1, '01101000': 4, '10000010': 3, '00111000': 2, '01011001': 3, '11000011': 1, '11101010': 4, '01010010': 3, '01100001': 9, '10001011': 6, '01001001': 7, '01011100': 1, '10110110': 3, '10011100': 5, '11011001': 3, '01010101': 3, '10011110': 2, '01000010': 4, '00001110': 7, '11111000': 2, '01101101': 3, '10110001': 3, '00111100': 2, '00100100': 2, '00011100': 3, '01011110': 1, '11100001': 7, '01001110': 1, '10111110': 4, '01010000': 3, '11101000': 4, '01010001': 1, '10111101': 2, '01110001': 2, '00101111': 5, '11010001': 1, '11010010': 2, '11111101': 3, '01001011': 3, '11010111': 2, '10010111': 2, '00000111': 1, '01111101': 2, '01000001': 1, '10010000': 3, '11010011': 2, '01101010': 2, '00001000': 1, '11001011': 4, '10000001': 1, '11111010': 1, '01101111': 1, '00111110': 2, '11100101': 1, '00101000': 2, '01100100': 2, '01101100': 1, '11000101': 3, '01001010': 1, '01110100': 1, '01101110': 1, '11110101': 1, '00101110': 1, '10101010': 1, '00010011': 1, '10011001': 2, '00011010': 1, '10000000': 1}",0.4235243797302246,1024,3
8,23,0.12195634841918945,18,0.0004925727844238281,23.0,0.00980687141418457,0.7457444799292114,0.39267632390196033,16.880075127629368,0.45246076583862305,11.935546875,23,"{'01111111': 24, '11011100': 3, '01011010': 12, '10100101': 16, '10100011': 23, '01100101': 8, '10111001': 13, '00001010': 14, '11101101': 3, '11000110': 8, '10010000': 24, '00100001': 4, '00111111': 12, '10000100': 18, '01011100': 19, '00010010': 3, '11110111': 13, '01010111': 1, '10111011': 11, '00101101': 10, '11101111': 1, '11000100': 17, '01001110': 22, '10010010': 14, '00111101': 8, '00100011': 2, '00001100': 8, '01101100': 3, '11110011': 6, '11111101': 2, '00011010': 10, '11010100': 15, '01101001': 8, '10110101': 11, '11001110': 3, '11100111': 13, '00101011': 12, '01111001': 9, '01101101': 22, '10100001': 20, '00001000': 12, '00111001': 7, '01001000': 10, '01011110': 19, '01101111': 21, '10110011': 9, '11010000': 8, '01110101': 10, '10001000': 5, '00011100': 10, '01111011': 22, '10010100': 11, '00011110': 3, '11000111': 1, '11010110': 10, '00011000': 11, '11011110': 2, '01101011': 15, '11100011': 9, '10011010': 6, '01000110': 9, '10101011': 7, '00101001': 11, '10011000': 6, '10000000': 14, '10010101': 1, '11010010': 8, '01111101': 22, '11111011': 1, '11101001': 2, '10111111': 1, '01001100': 24, '10000110': 15, '00101111': 9, '00110001': 5, '11110001': 7, '01110111': 6, '01000100': 11, '10000010': 18, '00010100': 2, '10100111': 12, '10110111': 13, '11100101': 8, '10101101': 4, '01110011': 1, '11010001': 1, '00000000': 1, '10101001': 5, '00111011': 10, '11001100': 3, '11100001': 4, '00001110': 13, '10110001': 16, '00010000': 2, '11101011': 1, '11000000': 12, '01001010': 6, '10010110': 12, '01010101': 1, '01010110': 8, '01110001': 1, '11000101': 1, '01010100': 5, '11110101': 9, '10001110': 1, '10101111': 3, '01011000': 8, '10001010': 6, '01000000': 1, '10010111': 1, '01100111': 8, '11000010': 6, '10111101': 1, '00011011': 1, '11010011': 1, '01010000': 1, '10001011': 1, '01000010': 2, '10000001': 1, '11000011': 1, '10000101': 1, '00000100': 2, '10101010': 1, '11111111': 1, '10001001': 1, '11000001': 1}",0.30374741554260254,1024,4
