n,opt_mean,local_mean,rand_mean,qaoa_mean,opt_over_local,opt_over_qaoa,local_over_qaoa,rand_over_qaoa,local_time_mean,qaoa_sim_time_mean,opt_time_mean
6,8.8,7.6,8.8,8.8,1.1578947368421053,1.0,0.8636363636363635,1.0,0.00010800361633300781,0.33428082466125486,
8,17.4,14.6,17.4,17.2,1.191780821917808,1.0116279069767442,0.8488372093023256,1.0116279069767442,0.0005101680755615235,0.3259593963623047,
10,26.4,20.8,26.4,26.4,1.2692307692307692,1.0,0.787878787878788,1.0,0.00020022392272949218,0.29978466033935547,
22,,83.0,97.66666666666667,95.66666666666667,,,0.867595818815331,1.0209059233449478,0.0014179547627766926,1.0103779633839924,
