n,opt_cut_mean,opt_cut_std,opt_cut_count,rand_cut_mean,rand_cut_std,local_cut_mean,local_cut_std,qaoa_best_cut_mean,qaoa_best_cut_std,rand_time_mean,rand_time_std,local_time_mean,local_time_std,qaoa_opt_time_mean,qaoa_opt_time_std,qaoa_sim_time_mean,qaoa_sim_time_std
6,8.8,6.6105975524153635,5,8.8,6.6105975524153635,7.6,7.021395872616783,8.8,6.6105975524153635,0.11088247299194336,0.013655787653560986,0.00010800361633300781,2.9044530597064595e-05,0.23061003684997558,0.11187363538391704,0.33428082466125486,0.04359985381393557
8,17.4,5.319774431308154,5,17.4,5.319774431308154,14.6,5.128352561983234,17.2,5.263078946776307,0.13146576881408692,0.0323261887893948,0.0005101680755615235,0.0008047788571483466,0.23917827606201172,0.09767492865343967,0.3259593963623047,0.08428153111796932
10,26.4,12.054044964243332,5,26.4,12.054044964243332,20.8,11.606032913963324,26.4,12.054044964243332,0.12357892990112304,0.008481533800626061,0.00020022392272949218,5.267577806967662e-05,0.2626358509063721,0.06414499002290301,0.29978466033935547,0.009848035988164939
22,,,0,97.66666666666667,7.767453465154029,83.0,8.717797887081348,95.66666666666667,9.504384952922168,0.1833645502726237,0.025466619909586635,0.0014179547627766926,0.00048454165893375674,0.9044990539550781,0.047591150419074905,1.0103779633839924,0.05196465704813574
