n,g,rand_cut,rand_time,local_cut,local_time,opt_cut,opt_time,qaoa_gamma,qaoa_beta,qaoa_analytic_val,qaoa_opt_time,qaoa_sampled_expectation,qaoa_best_cut,qaoa_counts,qaoa_sim_time,qaoa_total_time,qaoa_shots,qc_job,qc_prep_time,qc_run_time,qc_best_cut,qc_total_time,repeat,qc_entropy_bits
21,<lib.graphlib.GraphLib object at 0x0000015225F425D0>,534,0.21958422660827637,447,0.0006561279296875,,,0.3786706183692429,0.3199913378178484,449.2606451039056,0.48655152320861816,377.808349609375,556.0,,1.5530102252960205,2.0395617485046387,4096.0,,,,,,3,
21,<lib.graphlib.GraphLib object at 0x00000152490E7B10>,540,0.23990201950073242,476,0.0021085739135742188,,,0.3892140598851496,0.3290358900339889,437.09528965682466,0.5007097721099854,364.1025390625,524.0,,1.7087078094482422,2.2094175815582275,4096.0,,,,,,4,
24,<lib.graphlib.GraphLib object at 0x0000015262B8FCA0>,572,0.36817169189453125,468,0.0023000240325927734,,,0.38953622929168413,0.3346822244097012,457.5878584206745,0.5570743083953857,382.752685546875,543.0,,7.7964770793914795,8.353551387786865,4096.0,"<RuntimeJobV2('d45sdmmjf4ms73ap41eg', 'sampler')>",3.287283182144165,2.093668,372,5.380951182144165,0,11.999999999999996
24,<lib.graphlib.GraphLib object at 0x00000152640F45F0>,439,0.26102423667907715,395,0.002100229263305664,,,0.41683312256974164,0.34580273775575615,364.10536405445123,0.5087149143218994,304.080322265625,436.0,,7.316709041595459,7.825423955917358,4096.0,,,,,,1,
24,<lib.graphlib.GraphLib object at 0x0000015255ED9E00>,648,0.4312014579772949,556,0.0020554065704345703,,,0.3660363859642815,0.3312226660239711,552.1504234685099,0.6083130836486816,469.546142578125,660.0,,7.593322515487671,8.201635599136353,4096.0,,,,,,2,
24,<lib.graphlib.GraphLib object at 0x00000152640F63A0>,544,0.40013694763183594,466,0.0018696784973144531,,,0.3744786571773505,0.3397626311796534,466.3034014750592,0.6058557033538818,392.58056640625,546.0,,8.427050352096558,9.03290605545044,4096.0,,,,,,3,
24,<lib.graphlib.GraphLib object at 0x000001525534E120>,648,0.30120253562927246,560,0.0024335384368896484,,,0.3639716514704725,0.3282735208183048,542.2927742182234,0.6738066673278809,459.810791015625,621.0,,7.217544078826904,7.891350746154785,4096.0,,,,,,4,
27,<lib.graphlib.GraphLib object at 0x000001525F719950>,648,0.3262667655944824,501,0.001768350601196289,,,0.36906647162534567,0.34618373948542003,569.9665005624057,0.7358527183532715,476.35205078125,687.0,,67.47897410392761,68.21482682228088,4096.0,"<RuntimeJobV2('d45seiujf4ms73ap42b0', 'sampler')>",6.069556474685669,2.107032,535,8.17658847468567,0,11.999999999999996
27,<lib.graphlib.GraphLib object at 0x0000015262746300>,750,0.5352077484130859,649,0.004900693893432617,,,0.33998019257620266,0.32393254533817006,636.5078069222501,1.0334749221801758,551.322509765625,750.0,,66.5678939819336,67.60136890411377,4096.0,,,,,,1,
27,<lib.graphlib.GraphLib object at 0x0000015257686210>,707,0.3488757610321045,608,0.0038080215454101562,,,0.37684496469121476,0.3469663675180871,610.0593302372702,0.7449512481689453,511.52392578125,723.0,,84.96608924865723,85.71104049682617,4096.0,,,,,,2,
27,<lib.graphlib.GraphLib object at 0x0000015260B2D900>,734,1.6402840614318848,551,0.012807369232177734,,,0.3659649983588796,0.3466765792090531,623.1946162971439,3.1651082038879395,526.128173828125,717.0,,97.99282670021057,101.15793490409851,4096.0,,,,,,3,
27,<lib.graphlib.GraphLib object at 0x00000152635B3ED0>,713,0.70635986328125,635,0.002119302749633789,,,0.3643117341665194,0.33688878339843836,612.6276995590878,0.9497759342193604,518.54052734375,714.0,,81.60872983932495,82.55850577354431,4096.0,,,,,,4,
30,<lib.graphlib.GraphLib object at 0x0000015262BF01E0>,936,0.5794448852539062,840,0.0028727054595947266,,,,,,,,,,,,,"<RuntimeJobV2('d45sh9en7jjs73bt1jhg', 'sampler')>",3.225675344467163,2.180443,744,5.406118344467163,0,11.999999999999996
30,<lib.graphlib.GraphLib object at 0x00000152635BDEA0>,901,0.41123151779174805,909,0.004610538482666016,,,,,,,,,,,,,,,,,,1,
30,<lib.graphlib.GraphLib object at 0x00000152635BEDA0>,776,0.2516655921936035,634,0.004922628402709961,,,,,,,,,,,,,,,,,,2,
30,<lib.graphlib.GraphLib object at 0x00000152635BE260>,923,0.45193958282470703,821,0.004470348358154297,,,,,,,,,,,,,,,,,,3,
30,<lib.graphlib.GraphLib object at 0x00000152635BCFA0>,941,0.5528156757354736,778,0.0054781436920166016,,,,,,,,,,,,,,,,,,4,
33,<lib.graphlib.GraphLib object at 0x00000152635BE940>,1111,1.0886077880859375,946,0.011088848114013672,,,,,,,,,,,,,"<RuntimeJobV2('d45shdejf4ms73ap44ug', 'sampler')>",10.68700122833252,2.195076,808,12.88207722833252,0,11.999999999999996
33,<lib.graphlib.GraphLib object at 0x00000152635BC5F0>,1196,1.5187749862670898,1076,0.014687538146972656,,,,,,,,,,,,,,,,,,1,
33,<lib.graphlib.GraphLib object at 0x00000152635BCC30>,1020,0.9699990749359131,960,0.007393598556518555,,,,,,,,,,,,,,,,,,2,
33,<lib.graphlib.GraphLib object at 0x000001524B6C6D50>,1091,0.7220802307128906,941,0.006058216094970703,,,,,,,,,,,,,,,,,,3,
33,<lib.graphlib.GraphLib object at 0x00000152635BCA00>,1041,0.8898756504058838,888,0.01521611213684082,,,,,,,,,,,,,,,,,,4,
36,<lib.graphlib.GraphLib object at 0x00000152635BFC00>,1231,1.241098403930664,1118,0.011012554168701172,,,,,,,,,,,,,"<RuntimeJobV2('d45shi6n7jjs73bt1jqg', 'sampler')>",11.457767724990845,2.242759,1048,13.700526724990844,0,11.999999999999996
36,<lib.graphlib.GraphLib object at 0x0000015263D24A00>,1241,1.4920051097869873,940,0.021846294403076172,,,,,,,,,,,,,,,,,,1,
36,<lib.graphlib.GraphLib object at 0x00000152635BE440>,1365,1.8054428100585938,1306,0.006232500076293945,,,,,,,,,,,,,,,,,,2,
36,<lib.graphlib.GraphLib object at 0x00000152635B3250>,1262,1.1092331409454346,1102,0.010130882263183594,,,,,,,,,,,,,,,,,,3,
36,<lib.graphlib.GraphLib object at 0x00000152635B3F70>,1366,0.9207439422607422,1218,0.0177915096282959,,,,,,,,,,,,,,,,,,4,
39,<lib.graphlib.GraphLib object at 0x00000152635B16D0>,1343,1.004579782485962,1096,0.014203071594238281,,,,,,,,,,,,,"<RuntimeJobV2('d45shm1me48c73d7ilbg', 'sampler')>",7.515698671340942,2.18745,1071,9.703148671340942,0,11.999999999999996
39,<lib.graphlib.GraphLib object at 0x0000015263D245F0>,1561,1.2427411079406738,1321,0.020272254943847656,,,,,,,,,,,,,,,,,,1,
39,<lib.graphlib.GraphLib object at 0x00000152635B1CC0>,1426,0.969951868057251,1237,0.01990795135498047,,,,,,,,,,,,,,,,,,2,
39,<lib.graphlib.GraphLib object at 0x0000015263D25130>,1375,1.0056483745574951,1185,0.015846729278564453,,,,,,,,,,,,,,,,,,3,
39,<lib.graphlib.GraphLib object at 0x00000152635BCFF0>,1626,1.3018438816070557,1458,0.01845574378967285,,,,,,,,,,,,,,,,,,4,
42,<lib.graphlib.GraphLib object at 0x0000015263D260D0>,1574,1.0420448780059814,1475,0.02460312843322754,,,,,,,,,,,,,"<RuntimeJobV2('d45shq6jf4ms73ap45ag', 'sampler')>",8.981741666793823,2.2361,1258,11.217841666793824,0,11.999999999999996
42,<lib.graphlib.GraphLib object at 0x0000015263D25EA0>,1707,1.2753465175628662,1480,0.022171497344970703,,,,,,,,,,,,,,,,,,1,
42,<lib.graphlib.GraphLib object at 0x0000015263CE9E00>,1706,1.186535358428955,1399,0.013649702072143555,,,,,,,,,,,,,,,,,,2,
42,<lib.graphlib.GraphLib object at 0x0000015263CE9D60>,1654,1.2663652896881104,1413,0.018178462982177734,,,,,,,,,,,,,,,,,,3,
42,<lib.graphlib.GraphLib object at 0x0000015263582A30>,1655,0.9482953548431396,1432,0.022203922271728516,,,,,,,,,,,,,,,,,,4,
45,<lib.graphlib.GraphLib object at 0x00000152635B3A70>,1975,1.4856791496276855,1798,0.02202129364013672,,,,,,,,,,,,,"<RuntimeJobV2('d45shuujf4ms73ap45gg', 'sampler')>",10.35688042640686,2.254681,1694,12.61156142640686,0,11.999999999999996
45,<lib.graphlib.GraphLib object at 0x0000015263D25680>,1840,0.5312597751617432,1751,0.013811349868774414,,,,,,,,,,,,,,,,,,1,
45,<lib.graphlib.GraphLib object at 0x0000015263CEB7A0>,1953,0.7061469554901123,1748,0.018121719360351562,,,,,,,,,,,,,,,,,,2,
45,<lib.graphlib.GraphLib object at 0x0000015262B0F1B0>,1957,0.7100353240966797,1950,0.015684127807617188,,,,,,,,,,,,,,,,,,3,
45,<lib.graphlib.GraphLib object at 0x0000015262B0E850>,1825,0.661135196685791,1730,0.0066394805908203125,,,,,,,,,,,,,,,,,,4,
48,<lib.graphlib.GraphLib object at 0x00000152635BD400>,2369,0.8601887226104736,1997,0.020017385482788086,,,,,,,,,,,,,"<RuntimeJobV2('d45si1mn7jjs73bt1k9g', 'sampler')>",5.924776792526245,2.311486,1882,8.236262792526245,0,11.999999999999996
48,<lib.graphlib.GraphLib object at 0x00000152627871B0>,1975,0.5662291049957275,1692,0.013989925384521484,,,,,,,,,,,,,,,,,,1,
48,<lib.graphlib.GraphLib object at 0x0000015263CE8D20>,2004,0.7135653495788574,1875,0.012212276458740234,,,,,,,,,,,,,,,,,,2,
48,<lib.graphlib.GraphLib object at 0x00000152635BF6B0>,2246,1.1161870956420898,2103,0.026330232620239258,,,,,,,,,,,,,,,,,,3,
48,<lib.graphlib.GraphLib object at 0x0000015262BAF7F0>,2140,0.7402210235595703,1889,0.011264324188232422,,,,,,,,,,,,,,,,,,4,
51,<lib.graphlib.GraphLib object at 0x0000015262BAE300>,2305,0.9063150882720947,2141,0.02051711082458496,,,,,,,,,,,,,"<RuntimeJobV2('d45si4un7jjs73bt1kd0', 'sampler')>",6.580904722213745,2.325039,1995,8.905943722213745,0,11.999999999999996
51,<lib.graphlib.GraphLib object at 0x0000015262BAFD40>,2514,0.6609771251678467,2299,0.01965022087097168,,,,,,,,,,,,,,,,,,1,
